Symbol: AAPL Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
150,DTSreversal(BUY),Buy to Open,1035.0,$2.41,2/8/06,,$6244.74,2075.0,
151,DTSreversal(BUY),Buy to Open,1017.0,$2.46,2/9/06,,$5818.49,3092.0,
152,DTSreversal(SELL),Sell to Close,-3092.0,$2.40,4/6/06,($75.87),$6068.05,0.0,
153,DTSreversal(BUY),Buy to Open,1077.0,$2.32,5/17/06,,$6078.82,1077.0,
154,DTSreversal(BUY),Buy to Open,1107.0,$2.26,5/19/06,,$6102.56,2184.0,
155,DTSreversal(SELL),Sell to Close,-2184.0,$1.87,7/14/06,($921.78),$5146.28,0.0,
156,DTSreversal(BUY),Buy to Open,844.0,$2.96,12/22/06,,$5125.18,844.0,
157,DTSreversal(BUY),Buy to Open,851.0,$2.94,12/26/06,,$5083.41,1695.0,
158,DTSreversal(BUY),Buy to Open,858.0,$2.91,12/27/06,,$5084.32,2553.0,
159,DTSreversal(SELL),Sell to Close,-2553.0,$3.31,1/10/07,$945.57,$6091.84,0.0,
160,DTSreversal(BUY),Buy to Open,583.0,$4.28,8/16/07,,$6032.50,583.0,
161,DTSreversal(BUY),Buy to Open,598.0,$4.18,8/17/07,,$6243.82,1181.0,
162,DTSreversal(SELL),Sell to Close,-1181.0,$4.83,8/27/07,$710.42,$6802.26,0.0,
163,DTSreversal(BUY),Buy to Open,455.0,$5.49,11/13/07,,$7065.51,455.0,
164,DTSreversal(SELL),Sell to Close,-455.0,$6.44,11/29/07,$429.98,$7232.24,0.0,
165,DTSreversal(BUY),Buy to Open,394.0,$6.34,1/8/08,,$7142.32,394.0,
166,DTSreversal(BUY),Buy to Open,408.0,$6.12,1/9/08,,$7375.76,802.0,
167,DTSreversal(BUY),Buy to Open,405.0,$6.17,1/14/08,,$7446.09,1207.0,
168,DTSreversal(SELL),Sell to Close,-1207.0,$4.26,2/27/08,($2356.63),$4875.61,0.0,
169,DTSreversal(BUY),Buy to Open,416.0,$6.01,6/27/08,,$4902.80,416.0,
170,DTSreversal(BUY),Buy to Open,418.0,$5.98,7/1/08,,$5079.08,834.0,
171,DTSreversal(SELL),Sell to Close,-834.0,$6.20,8/12/08,$170.11,$5045.72,0.0,
172,DTSreversal(BUY),Buy to Open,370.0,$6.75,12/8/09,,$5057.87,370.0,
173,DTSreversal(BUY),Buy to Open,368.0,$6.78,12/9/09,,$5266.89,738.0,
174,DTSreversal(SELL),Sell to Close,-738.0,$7.16,12/23/09,$288.64,$5334.36,0.0,
175,DTSreversal(BUY),Buy to Open,364.0,$6.86,2/1/10,,$5369.03,364.0,
176,DTSreversal(BUY),Buy to Open,364.0,$6.86,2/5/10,,$5422.85,728.0,
177,DTSreversal(SELL),Sell to Close,-728.0,$7.31,3/1/10,$326.65,$5661.01,0.0,
178,DTSreversal(BUY),Buy to Open,296.0,$8.42,5/10/10,,$5852.67,296.0,
179,DTSreversal(SELL),Sell to Close,-296.0,$9.36,5/13/10,$277.29,$5938.30,0.0,
180,DTSreversal(BUY),Buy to Open,283.0,$8.82,7/6/10,,$5955.38,283.0,
181,DTSreversal(BUY),Buy to Open,285.0,$8.77,7/20/10,,$6052.56,568.0,
182,DTSreversal(SELL),Sell to Close,-568.0,$9.43,7/28/10,$361.54,$6299.84,0.0,
183,DTSreversal(BUY),Buy to Open,281.0,$8.90,8/16/10,,$6285.19,281.0,
184,DTSreversal(BUY),Buy to Open,282.0,$8.84,8/17/10,,$6372.25,563.0,
185,DTSreversal(BUY),Buy to Open,284.0,$8.78,8/24/10,,$6070.62,847.0,
186,DTSreversal(SELL),Sell to Close,-847.0,$9.24,9/7/10,$340.69,$6640.53,0.0,
187,DTSreversal(BUY),Buy to Open,212.0,$11.79,3/17/11,,$6675.59,212.0,
188,DTSreversal(BUY),Buy to Open,209.0,$11.95,3/18/11,,$6615.90,421.0,
189,DTSreversal(BUY),Buy to Open,211.0,$11.81,3/21/11,,$6810.69,632.0,
190,DTSreversal(SELL),Sell to Close,-632.0,$12.52,4/25/11,$427.38,$7067.91,0.0,
191,DTSreversal(BUY),Buy to Open,210.0,$11.90,5/17/11,,$7089.21,210.0,
192,DTSreversal(BUY),Buy to Open,210.0,$11.86,5/25/11,,$7128.44,420.0,
193,DTSreversal(SELL),Sell to Close,-420.0,$12.42,6/1/11,$226.27,$7294.19,0.0,
